,h
2015-09-01,20.78992213213345
2015-09-02,20.775882059241972
2015-09-03,20.763016115601033
2015-09-04,20.75115602013667
2015-09-05,20.74017587059394
2015-09-06,20.729961181351808
2015-09-07,20.720416706583322
2015-09-08,20.711463692067397
2015-09-09,20.70303925319609
2015-09-10,20.6950917569422
2015-09-11,20.687574645538586
2015-09-12,20.680475558394473
2015-09-13,20.685198082711825
2015-09-14,20.709721125678186
2015-09-15,20.71954671550769
2015-09-16,20.725876286545528
2015-09-17,20.718125062256984
2015-09-18,20.709941021891343
2015-09-19,20.705178370771748
2015-09-20,20.69911181417318
2015-09-21,20.691924607461107
2015-09-22,20.685127297155308
2015-09-23,20.685488576391837
2015-09-24,20.6835992692337
2015-09-25,20.679679306415718
2015-09-26,20.674258552191763
2015-09-27,20.66809034925488
2015-09-28,20.661642646278395
2015-09-29,20.65523307021456
2015-09-30,20.648985476568246
2015-10-01,20.64298130941849
2015-10-02,20.637303174610974
2015-10-03,20.69455240953678
2015-10-04,20.74999276166758
2015-10-05,20.777303279428907
2015-10-06,20.780679333552953
2015-10-07,20.771738242838552
2015-10-08,20.763446261308793
2015-10-09,20.753815279311993
2015-10-10,20.743171480794366
2015-10-11,20.73264098640696
2015-10-12,20.72365493755643
2015-10-13,20.714902659355904
2015-10-14,20.70596694959018
2015-10-15,20.69732604405873
2015-10-16,20.689065392699213
2015-10-17,20.681283870958435
2015-10-18,20.675031722837108
2015-10-19,20.675207086617522
2015-10-20,20.673161700581137
2015-10-21,20.66871622602522
2015-10-22,20.663500703933057
2015-10-23,20.658803895753064
2015-10-24,20.653633155891782
2015-10-25,20.648271969779238
2015-10-26,20.643195860352574
2015-10-27,20.63852805193057
2015-10-28,20.733834374898578
2015-10-29,20.7857083474712
2015-10-30,20.801246337196865
2015-10-31,20.79683479344469
2015-11-01,20.78448438336804
2015-11-02,20.769087247958943
2015-11-03,20.75462116207556
2015-11-04,20.745059034946568
2015-11-05,20.73558779223104
2015-11-06,20.726970350023826
2015-11-07,20.71835931519227
2015-11-08,20.709760699746546
2015-11-09,20.7013813474941
2015-11-10,20.693582808034186
2015-11-11,20.68632379132566
2015-11-12,20.679513625684415
2015-11-13,20.673214430120694
2015-11-14,20.667950836562905
2015-11-15,20.66278958774039
2015-11-16,20.657642751536027
2015-11-17,20.65259281683098
2015-11-18,20.649580041330346
2015-11-19,20.64761841160365
2015-11-20,20.647445845999144
2015-11-21,20.878643787166634
2015-11-22,20.984245984217633
2015-11-23,21.011931424526004
2015-11-24,21.016122843173484
2015-11-25,21.030282134027892
2015-11-26,21.044565164247548
2015-11-27,21.043070142526837
2015-11-28,21.036671279859263
2015-11-29,21.02387486435752
2015-11-30,21.00848706450171
2015-12-01,20.990659047463268
2015-12-02,20.972694486255897
2015-12-03,20.955700381689915
2015-12-04,20.939620365589814
2015-12-05,20.92376310739534
2015-12-06,20.908993359676817
2015-12-07,20.89439143253267
2015-12-08,20.880174057086954
2015-12-09,20.866434352368604
2015-12-10,20.853534261237492
2015-12-11,20.841253265655336
2015-12-12,20.82959648434321
2015-12-13,20.818181322312608
2015-12-14,20.80706684025078
2015-12-15,20.796110700971948
2015-12-16,20.78630272604233
2015-12-17,20.776935180042354
2015-12-18,20.767716557791346
2015-12-19,20.75873735238647
2015-12-20,20.74993492162032
2015-12-21,20.74207352320352
2015-12-22,20.73437024268092
2015-12-23,20.726833515924728
2015-12-24,20.71959896074309
2015-12-25,20.71250931359471
2015-12-26,20.705593693226728
2015-12-27,20.698878242259802
2015-12-28,20.69238368168942
2015-12-29,20.69473148166505
2015-12-30,20.700371331840145
2015-12-31,20.70198628516349
2016-01-01,20.700843329139676
2016-01-02,20.69904557280509
2016-01-03,20.703912541387606
2016-01-04,20.844209124898992
2016-01-05,20.939427278198956
2016-01-06,21.02448764607172
