,h
1950-03-19,17.839019986858386
1950-03-20,17.85193896977712
1950-03-21,17.856822924535926
1950-03-22,17.854487689212018
1950-03-23,17.846199904340164
1950-03-24,17.84031438149646
1950-03-25,17.83361191036486
1950-03-26,17.822903312696287
1950-03-27,17.81171337942868
1950-03-28,17.804405873095384
1950-03-29,17.801559136887075
1950-03-30,17.795218214081636
1950-03-31,17.78690211885005
1950-04-01,17.782926392250967
1950-04-02,17.805447981835357
1950-04-03,17.801364728201907
1950-04-04,17.801518031947655
1950-04-05,17.79633996518301
1950-04-06,17.78772278697358
1950-04-07,17.776279817133698
1950-04-08,17.76755916223842
1950-04-09,17.764022343047053
1950-04-10,17.759194074192266
1950-04-11,17.757997079817496
1950-04-12,17.773998036566468
1950-04-13,17.769917561856225
1950-04-14,17.77046188587725
1950-04-15,17.76815810883421
1950-04-16,17.76271002106505
1950-04-17,17.80625754834017
1950-04-18,17.81279679067797
1950-04-19,17.827350342574142
1950-04-20,17.821931285750935
1950-04-21,17.81133165682505
1950-04-22,17.801121530158007
1950-04-23,17.800373086771724
1950-04-24,17.80331550623898
1950-04-25,17.80526097226299
1950-04-26,17.804604887216154
1950-04-27,17.798947762105122
1950-04-28,17.79059687385755
1950-04-29,17.780870800471174
1950-04-30,17.76832928035603
1950-05-01,17.754742287720006
1950-05-02,17.745641320511346
1950-05-03,17.737497110807325
1950-05-04,17.72739455157084
1950-05-05,17.71418943970536
1950-05-06,17.702560609264832
1950-05-07,17.691912118807377
1950-05-08,17.712343274512488
1950-05-09,17.711681001166397
1950-05-10,17.701819280849207
1950-05-11,17.6897246155418
1950-05-12,17.67280227313812
1950-05-13,17.67066984972231
1950-05-14,17.660028250551804
1950-05-15,17.645417273035786
1950-05-16,17.665120871992794
1950-05-17,17.65579116103426
1950-05-18,17.65662596686488
1950-05-19,17.6516061311578
1950-05-20,17.651642615532644
1950-05-21,17.639339493014717
1950-05-22,17.6284089389807
1950-05-23,17.62404060767611
1950-05-24,17.64362085025775
1950-05-25,17.630100279715105
1950-05-26,17.63589246338643
1950-05-27,17.638818585495702
1950-05-28,17.63138030873303
1950-05-29,17.624011423778878
1950-05-30,17.623462152826676
1950-05-31,17.61658756525986
1950-06-01,17.60848482762827
1950-06-02,17.59958582614269
1950-06-03,17.58728242587466
1950-06-04,17.571606386517455
1950-06-05,17.558110916195226
1950-06-06,17.550844326345352
1950-06-07,17.538995636345415
1950-06-08,17.52260759268447
1950-06-09,17.50840676035858
1950-06-10,17.49259469897715
1950-06-11,17.481871821641718
1950-06-12,17.46834163214929
1950-06-13,17.45813446559463
1950-06-14,17.45209350512811
1950-06-15,17.444591487164697
1950-06-16,17.435768358682562
1950-06-17,17.462047833918334
1950-06-18,17.458166664711165
1950-06-19,17.449089411793018
1950-06-20,17.436736904380314
1950-06-21,17.443300316282315
1950-06-22,17.436232942013163
1950-06-23,17.428650263110892
1950-06-24,17.419685232431966
1950-06-25,17.412547545532608
1950-06-26,17.40344211923268
1950-06-27,17.391515456176922
1950-06-28,17.37940943901756
1950-06-29,17.363928941378703
1950-06-30,17.35178966113498
1950-07-01,17.34296042801334
1950-07-02,17.371690940597276
1950-07-03,17.357735539674632
1950-07-04,17.35104830111946
1950-07-05,17.34077289344267
1950-07-06,17.33479180985387
1950-07-07,17.327574240686722
1950-07-08,17.312867932624428
1950-07-09,17.30033314695762
1950-07-10,17.289885302514357
1950-07-11,17.28747926518242
1950-07-12,17.280251649886214
1950-07-13,17.27063670535471
1950-07-14,17.26188682872621
1950-07-15,17.251861973632884
1950-07-16,17.24687114901218
1950-07-17,17.239601938733717
1950-07-18,17.230366216038494
1950-07-19,17.217147999552566
1950-07-20,17.20434371417269
1950-07-21,17.194855679758955
1950-07-22,17.191559140380853
1950-07-23,17.18949031780545
1950-07-24,17.181012705404335
1950-07-25,17.172904798934347
1950-07-26,17.165453767545696
1950-07-27,17.159234719525813
1950-07-28,17.14958627139271
1950-07-29,17.14119030636599
1950-07-30,17.132000813008553
1950-07-31,17.126384466304955
1950-08-01,17.12825026956433
